Province,Year,Per capita Disposable Income of All Residents (Thousand Yuan),Marriage Registration (Ten Thousand Pairs),Divorce Registration (Ten Thousand pairs)),Divorce Rate(‰),College enrollment rate (%),Population (10 thousands)
Beijing,2020,69.434,11.38,8.19,3.77,5.393,2189
Beijing,2019,67.756,12.9,8.38,3.89,5.32,2190
Beijing,2018,62.361,13.78,7.41,3.43,5.268,2192
Beijing,2017,57.23,15.15,8.06,3.71,5.3,2194
Beijing,2016,52.53,16.62,10.58,4.89,5.028,2195
Beijing,2015,48.458,16.6,8.22,3.79,5.218,2188
Beijing,2014,44.489,17,6.56,3.08,5.429,2171
Beijing,2013,40.83,16.37,6.46,3.06,5.469,2125
Beijing,2012,36.817,17.41,4.86,2.35,5.534,2078
Beijing,2011,33.176,17.32,4.35,3.45,5.613,2024
Tianjin,2020,43.854,8.98,7.26,4.92,4.43,1387
Tianjin,2019,42.404,9.64,7.47,4.78,4.214,1385
Tianjin,2018,39.506,9.75,6.41,4.11,4.15,1383
Tianjin,2017,37.022,9.51,5.89,3.78,4.072,1410
Tianjin,2016,34.074,9.82,6.52,4.24,4.058,1443
Tianjin,2015,31.291,10.12,5.19,3.36,4.185,1439
Tianjin,2014,28.832,9.94,4.45,2.98,4.283,1429
Tianjin,2013,26.359,10.26,4.53,3.07,4.346,1410
Tianjin,2012,24.03,10.14,3.63,2.57,4.358,1378
Tianjin,2011,21.714,10.41,3.21,3.24,4.329,1341
Hebei,2020,27.136,37.49,23.65,3.14,2.7,7464
Hebei,2019,25.665,42.13,25.57,3.37,2.596,7447
Hebei,2018,23.446,45.87,23.45,3.11,2.457,7426
Hebei,2017,21.484,50.49,23.24,3.1,2.328,7409
Hebei,2016,19.725,55.19,22.02,2.96,2.191,7375
Hebei,2015,18.118,60.94,19.9,2.68,2.141,7345
Hebei,2014,16.647,66.13,18.57,2.52,2.098,7323
Hebei,2013,15.19,74.08,17.88,2.44,2.108,7288
Hebei,2012,13.647,74.53,17.12,2.35,2.063,7262
Hebei,2011,12.059,77.72,15.63,2.14,2.006,7232
Shanxi,2020,25.214,21.58,8.21,2.27,2.688,3490
Shanxi,2019,23.828,25.5,9.12,2.45,2.515,3497
Shanxi,2018,21.99,27.85,8.75,2.36,2.383,3502
Shanxi,2017,20.42,28.77,8.22,2.23,2.401,3510
Shanxi,2016,19.049,30.01,7.65,2.09,2.439,3514
Shanxi,2015,17.854,34.68,7.22,1.97,2.504,3519
Shanxi,2014,16.538,35.07,6.56,1.8,2.519,3528
Shanxi,2013,15.12,38.4,6.1,1.68,2.474,3535
Shanxi,2012,13.592,36.28,5.28,1.46,2.351,3548
Shanxi,2011,11.959,33.96,4.75,1.37,2.202,3562
Inner Mongolia,2020,31.497,14.17,8.61,3.48,2.127,2403
Inner Mongolia,2019,30.555,16.18,9.98,3.93,2.053,2415
Inner Mongolia,2018,28.376,17.69,9.88,3.9,1.984,2422
Inner Mongolia,2017,26.212,18.7,10.09,4,1.969,2433
Inner Mongolia,2016,24.127,19.84,9.84,3.92,1.937,2436
Inner Mongolia,2015,22.31,21.79,9.19,3.66,2.035,2440
Inner Mongolia,2014,20.559,21.68,8.84,3.54,2.156,2449
Inner Mongolia,2013,18.693,22.16,8.07,3.23,2.137,2455
Inner Mongolia,2012,16.8,20.77,7.06,2.83,2.042,2464
Inner Mongolia,2011,14.715,21.53,6.67,2.72,1.92,2470
Liaoning,2020,32.738,22.43,15.05,3.49,3.487,4255
Liaoning,2019,31.82,25.56,17.68,4.06,3.136,4277
Liaoning,2018,29.701,28.08,17.24,3.95,2.866,4291
Liaoning,2017,27.835,29.19,16.68,3.81,2.859,4312
Liaoning,2016,26.04,31.26,16.01,3.65,2.845,4327
Liaoning,2015,24.576,31.7,15.23,3.48,2.876,4338
Liaoning,2014,22.82,34.51,15.27,3.48,2.933,4358
Liaoning,2013,20.818,36.96,15.21,3.47,2.903,4365
Liaoning,2012,18.761,37.29,14.12,3.22,2.811,4375
Liaoning,2011,16.429,37.26,13.91,3.27,2.712,4379
Jilin,2020,25.751,13.93,10.37,4.07,3.707,2399
Jilin,2019,24.563,18.08,12.98,4.83,3.373,2448
Jilin,2018,22.798,19.32,12.88,4.75,3.131,2484
Jilin,2017,21.368,20.63,13.36,4.9,3.038,2526
Jilin,2016,19.967,22.15,12.92,4.71,3.048,2567
Jilin,2015,18.684,23.45,12.74,4.63,3.169,2613
Jilin,2014,17.52,23.52,12.21,4.44,3.168,2642
Jilin,2013,15.998,25.41,12.4,4.51,3.033,2668
Jilin,2012,14.395,22.98,11.1,4.03,2.889,2698
Jilin,2011,12.621,23.82,10.14,3.72,2.807,2725
Heilongjiang,2020,24.902,17.19,13.77,3.97,2.695,3171
Heilongjiang,2019,24.254,24.44,18.68,4.98,2.531,3255
Heilongjiang,2018,22.726,27.82,19.37,5.12,2.405,3327
Heilongjiang,2017,21.206,28.67,19.69,5.19,2.403,3399
Heilongjiang,2016,19.838,30.63,18.72,4.91,2.427,3463
Heilongjiang,2015,18.593,31.82,18.98,4.98,2.518,3529
Heilongjiang,2014,17.404,35.23,18.73,4.88,2.555,3608
Heilongjiang,2013,15.903,37.66,17.83,4.65,2.529,3666
Heilongjiang,2012,14.302,34.56,15.68,4.09,2.441,3724
Heilongjiang,2011,12.605,33.27,14.95,3.89,2.409,3782
Shanghai,2020,72.232,9.22,6.64,2.7,3.722,2488
Shanghai,2019,69.442,9.87,6.17,2.54,3.582,2481
Shanghai,2018,64.183,10.51,5.9,2.44,3.517,2475
Shanghai,2017,58.988,10.87,5.88,2.43,3.498,2466
Shanghai,2016,54.305,12.52,8.26,3.41,3.327,2467
Shanghai,2015,49.867,14.18,6.66,2.76,3.33,2458
Shanghai,2014,45.966,14.19,6.15,2.54,3.348,2467
Shanghai,2013,42.174,14.95,6.96,2.88,3.421,2448
Shanghai,2012,38.55,14.42,5.28,2.22,3.481,2399
Shanghai,2011,34.731,14.89,4.79,3.39,3.556,2356
Jiangsu,2020,43.39,49.24,27,3.26,3.653,8477
Jiangsu,2019,41.4,56.94,29.95,3.71,3.311,8469
Jiangsu,2018,38.096,63.77,28.48,3.54,3.143,8446
Jiangsu,2017,35.024,67.55,28.78,3.59,3.045,8423
Jiangsu,2016,32.07,71.61,26.13,3.27,2.937,8381
Jiangsu,2015,29.539,78.6,22.93,2.87,2.896,8315
Jiangsu,2014,27.173,83.45,21.83,2.75,2.858,8281
Jiangsu,2013,24.776,90.38,21.66,2.73,2.814,8192
Jiangsu,2012,22.432,88.76,18.12,2.29,2.786,8120
Jiangsu,2011,19.82,86.75,16.68,2.23,2.824,8023
Zhejiang,2020,52.397,27.77,13.91,2.26,2.704,6468
Zhejiang,2019,49.899,29.36,15.44,2.64,2.509,6375
Zhejiang,2018,45.84,33.73,15.42,2.71,2.37,6273
Zhejiang,2017,42.046,34.44,15.77,2.8,2.345,6170
Zhejiang,2016,38.529,36.68,14.71,2.65,2.355,6072
Zhejiang,2015,35.537,39.25,13.96,2.52,2.414,5985
Zhejiang,2014,32.658,43.68,13.58,2.47,2.408,5890
Zhejiang,2013,29.775,42.22,13.24,2.41,2.363,5784
Zhejiang,2012,27.02,44.2,12.25,2.24,2.288,5685
Zhejiang,2011,24.195,44.09,11.52,2.43,2.218,5570
Anhui,2020,28.103,47.18,23.78,3.81,2.702,6105
Anhui,2019,26.415,54.16,25.01,3.93,2.447,6092
Anhui,2018,23.984,61.91,24.38,3.88,2.245,6076
Anhui,2017,21.863,67.38,24.21,3.89,2.25,6057
Anhui,2016,19.998,71.34,21.72,3.54,2.259,6033
Anhui,2015,18.363,73.91,18.12,2.95,2.309,6011
Anhui,2014,16.796,79.89,17.1,2.82,2.245,5997
Anhui,2013,15.154,80.56,15.62,2.59,2.203,5988
Anhui,2012,13.593,76.49,13.37,2.23,2.101,5978
Anhui,2011,11.873,71.14,11.95,1.75,2.007,5972
Fujian,2020,37.202,20.56,10.68,2.63,2.866,4161
Fujian,2019,35.616,24.03,11.24,2.83,2.577,4137
Fujian,2018,32.644,27.36,10.69,2.72,2.355,4104
Fujian,2017,30.048,29.14,10.59,2.72,2.352,4065
Fujian,2016,27.608,31.46,9.63,2.51,2.438,4016
Fujian,2015,25.404,34.94,8.93,2.33,2.508,3984
Fujian,2014,23.331,37.53,8.73,2.3,2.513,3945
